CID,wrds,n
177,carbamoyl,0.03409090909090909
177,synthase,0.027462121212121212
177,sp,0.026515151515151516
177,voucher,0.019886363636363636
177,carbomoylphosphate,0.013257575757575758
177,protein,0.011363636363636364
177,isolate,0.010416666666666666
203,gene,0.104
203,partial,0.104
203,28s,0.086
203,ribosomal,0.084
203,rna,0.084
203,sequence,0.084
203,voucher,0.07
203,large,0.02
203,rrna,0.02
203,subunit,0.02
203,specimen,0.016
204,gene,0.1037344398340249
204,partial,0.1037344398340249
204,ribosomal,0.08713692946058091
204,rna,0.08713692946058091
204,sequence,0.08713692946058091
204,28s,0.08506224066390042
204,voucher,0.06846473029045644
204,large,0.02074688796680498
204,subunit,0.02074688796680498
204,rrna,0.016597510373443983
204,specimen,0.012448132780082987
409,cds,0.1052335396736072
409,partial,0.1052335396736072
409,gene,0.10410804727068092
409,alanyltrna,0.06415306696679797
409,aats,0.062464828362408555
409,alanyl,0.04108047270680923
409,trna,0.04108047270680923
409,aats1,0.03714124929656725
409,protein,0.03714124929656725
409,synthetaselike,0.03714124929656725
409,synthase,0.032076533483398985
409,synthetase,0.030388294879009566
409,voucher,0.026449071468767585
504,cds,0.1
504,isomerase,0.1
504,partial,0.1
504,triosephosphate,0.08837209302325581
504,tpi,0.08372093023255814
504,gene,0.05813953488372093
504,mrna,0.05116279069767442
504,voucher,0.020930232558139535
504,sp,0.01627906976744186
504,cdna,0.013953488372093023
504,sequence,0.013953488372093023
504,phosphate,0.011627906976744186
504,triose,0.011627906976744186
1065,partial,0.11363636363636363
1065,pgd,0.10795454545454546
1065,cds,0.09659090909090909
1065,dehydrogenase,0.09659090909090909
1065,gene,0.09375
1065,phosphogluconate,0.0625
1065,6phosphogluconate,0.05113636363636364
1065,voucher,0.02556818181818182
1065,mrna,0.019886363636363636
1065,dehydrogenaselike,0.017045454545454544
1065,sequence,0.017045454545454544
1065,isolate,0.011363636363636364
3194,cds,0.08069164265129683
3194,gene,0.08069164265129683
3194,mac,0.08069164265129683
3194,partial,0.08069164265129683
3194,calcium,0.07204610951008646
3194,channel,0.07204610951008646
3194,chemoreceptordihydropyridinesensitive,0.07204610951008646
3194,ltype,0.07204610951008646
3194,methylaccepting,0.07204610951008646
3194,protein,0.05187319884726225
3194,sp,0.025936599423631124
3432,cds,0.10317460317460317
3432,cofactor,0.10317460317460317
3432,gene,0.10317460317460317
3432,mcs,0.10317460317460317
3432,molybdenum,0.10317460317460317
3432,partial,0.10317460317460317
3432,sulfurase,0.10317460317460317
3432,sp,0.027777777777777776
3432,cf,0.011904761904761904
