,tip_name,superfamily,family,subfamily,tribe,genus,species,additional_identifiers,name
43,Chordonota_sp_CB0436_Stratiomyidae_S,,Stratiomyidae,,,Chordonota,,CB0436,Chordonota
44,Leucoptilum_sp_CB0326_Stratiomyidae_S,,Stratiomyidae,,,Leucoptilum,,CB0326,Leucoptilum
45,Ditylometopa_elegans_Stratiomyidae_S,,Stratiomyidae,,,Ditylometopa,elegans,,Ditylometopa elegans
46,Euryneura_propinqua_Stratiomyidae_S,,Stratiomyidae,,,Euryneura,propinqua,,Euryneura propinqua
47,Diaphorostylus_nasica_Stratiomyidae_S,,Stratiomyidae,,,Diaphorostylus,nasica,,Diaphorostylus nasica
48,Cf__Euryneura_sp_CB0427_Stratiomyidae_S,,Stratiomyidae,,,Cf__Euryneura,,CB0427,Euryneura
49,Dieuryneura_stigma_Stratiomyidae_S,,Stratiomyidae,,,Dieuryneura,stigma,,Dieuryneura stigma
50,Dysbiota_parvula_Stratiomyidae_S,,Stratiomyidae,,,Dysbiota,parvula,,Dysbiota parvula
51,Lagenosoma_sp_CB0403_Stratiomyidae_S,,Stratiomyidae,,,Lagenosoma,,CB0403,Lagenosoma
52,Auloceromyia_sp_CB0435_Stratiomyidae_S,,Stratiomyidae,,,Auloceromyia,,CB0435,Auloceromyia
53,Ampsalis_terminalis_CB0401_Stratiomyidae_S,,Stratiomyidae,,,Ampsalis,terminalis,CB0401,Ampsalis terminalis
54,Adoxomyia_bistriata_Stratiomyidae_S,,Stratiomyidae,,,Adoxomyia,bistriata,,Adoxomyia bistriata
55,Nigritomyia_consobrina_Stratiomyidae_S,,Stratiomyidae,,,Nigritomyia,consobrina,,Nigritomyia consobrina
56,Nigritomyia_loewii_Stratiomyidae_S,,Stratiomyidae,,,Nigritomyia,loewii,,Nigritomyia loewii
57,Adoxomyia_regularis_CB0428_Stratiomyidae_S,,Stratiomyidae,,,Adoxomyia,regularis,CB0428,Adoxomyia regularis
58,Clitellaria_ephippium_Stratiomyidae_S,,Stratiomyidae,,,Clitellaria,ephippium,,Clitellaria ephippium
59,Adoxomyia_rustica_CB0316_Stratiomyidae_S,,Stratiomyidae,,,Adoxomyia,rustica,CB0316,Adoxomyia rustica
60,Adoxomyia_sp_CB0419_Stratiomyidae_S,,Stratiomyidae,,,Adoxomyia,,CB0419,Adoxomyia
61,Hedriodiscus_binotatus_Stratiomyidae_S,,Stratiomyidae,,,Hedriodiscus,binotatus,,Hedriodiscus binotatus
62,Stratiomyidae_S_sp_ESB_2006_Stratiomyidae_S,,Stratiomyidae,,,Stratiomyidae_S_sp,,ESB_2006,Stratiomyidae
63,Stratiomys_laticeps_CB0319_Stratiomyidae_S,,Stratiomyidae,,,Stratiomys,laticeps,CB0319,Stratiomys laticeps
64,Odontomyia_occidentalis_Stratiomyidae_S,,Stratiomyidae,,,Odontomyia,occidentalis,,Odontomyia occidentalis
65,Euparyphus_pardalinus_Stratiomyidae_S,,Stratiomyidae,,,Euparyphus,pardalinus,,Euparyphus pardalinus
66,Euparyphus_sp_CB0429_Stratiomyidae_S,,Stratiomyidae,,,Euparyphus,,CB0429,Euparyphus
67,Myxosargus_knowltoni_Stratiomyidae_S,,Stratiomyidae,,,Myxosargus,knowltoni,,Myxosargus knowltoni
68,Raphiocera_ornata_CB0406_Stratiomyidae_S,,Stratiomyidae,,,Raphiocera,ornata,CB0406,Raphiocera ornata
69,Histiodroma_sp_CB0301_Stratiomyidae_S,,Stratiomyidae,,,Histiodroma,,CB0301,Histiodroma
70,Lasiopa_balius_Stratiomyidae_S,,Stratiomyidae,,,Lasiopa,balius,,Lasiopa balius
71,Alopecuroceras_coloratum_Stratiomyidae_S,,Stratiomyidae,,,Alopecuroceras,coloratum,,Alopecuroceras coloratum
72,Stratiomys_longicorni_Stratiomyidae_S,,Stratiomyidae,,,Stratiomys,longicorni,,Stratiomys longicorni
73,Stratiomys_ruficornis_Stratiomyidae_S,,Stratiomyidae,,,Stratiomys,ruficornis,,Stratiomys ruficornis
74,Stratiomys_potamida_Stratiomyidae_S,,Stratiomyidae,,,Stratiomys,potamida,,Stratiomys potamida
75,Odontomyia_flavissima_Stratiomyidae_S,,Stratiomyidae,,,Odontomyia,flavissima,,Odontomyia flavissima
76,Oplodontha_viridula_Stratiomyidae_S,,Stratiomyidae,,,Oplodontha,viridula,,Oplodontha viridula
77,Prosopochrysa_vitripennis_Stratiomyidae_S,,Stratiomyidae,,,Prosopochrysa,vitripennis,,Prosopochrysa vitripennis
78,Oxycera_marginata_Stratiomyidae_S,,Stratiomyidae,,,Oxycera,marginata,,Oxycera marginata
79,Oxycera_pardalina_Stratiomyidae_S,,Stratiomyidae,,,Oxycera,pardalina,,Oxycera pardalina
80,Hermionella_seguyi_Stratiomyidae_S,,Stratiomyidae,,,Hermionella,seguyi,,Hermionella seguyi
81,Oxycera_trilineata_Stratiomyidae_S,,Stratiomyidae,,,Oxycera,trilineata,,Oxycera trilineata
82,Nemotelus_cingulatus_Stratiomyidae_S,,Stratiomyidae,,,Nemotelus,cingulatus,,Nemotelus cingulatus
83,Antissa_sp_SLW_2002_Stratiomyidae_S,,Stratiomyidae,,,Antissa,,SLW_2002,Antissa
84,Exodontha_dubia_Stratiomyidae_S,,Stratiomyidae,,,Exodontha,dubia,,Exodontha dubia
85,Beris_morrisii_Stratiomyidae_S,,Stratiomyidae,,,Beris,morrisii,,Beris morrisii
86,Actina_chalybea_Stratiomyidae_S,,Stratiomyidae,,,Actina,chalybea,,Actina chalybea
87,Chorisops_tunisiae_Stratiomyidae_S,,Stratiomyidae,,,Chorisops,tunisiae,,Chorisops tunisiae
88,Oplachantha_sp_CB0225_Stratiomyidae_S,,Stratiomyidae,,,Oplachantha,,CB0225,Oplachantha
89,Heteracanthia_sp_Stratiomyidae_S,,Stratiomyidae,,,Heteracanthia,,,Heteracanthia
90,Actina_viridis_Stratiomyidae_S,,Stratiomyidae,,,Actina,viridis,,Actina viridis
91,Neoberis_brasiliana_Stratiomyidae_S,,Stratiomyidae,,,Neoberis,brasiliana,,Neoberis brasiliana
92,Beridops_sp_CB0437_Stratiomyidae_S,,Stratiomyidae,,,Beridops,,CB0437,Beridops
93,Lecomyia_sp_CB0413_Stratiomyidae_S,,Stratiomyidae,,,Lecomyia,,CB0413,Lecomyia
94,Cyanauges_ruficornis_CB0407_Stratiomyidae_S,,Stratiomyidae,,,Cyanauges,ruficornis,CB0407,Cyanauges ruficornis
95,Cyanauges_maculatus_CB0433_Stratiomyidae_S,,Stratiomyidae,,,Cyanauges,maculatus,CB0433,Cyanauges maculatus
96,Chiromyza_sp_CB0313_Stratiomyidae_S,,Stratiomyidae,,,Chiromyza,,CB0313,Chiromyza
97,Parhadrestia_atava_Stratiomyidae_S,,Stratiomyidae,,,Parhadrestia,atava,,Parhadrestia atava
98,Hilarimorpha_sp_Hilarimorphidae_H,,Hilarimorphidae,,,Hilarimorpha,,,Hilarimorpha
99,Sylvicola_fenestralis_Anisopodoidea_B,,Anisopodidae,,,Sylvicola,fenestralis,,Sylvicola fenestralis
100,Symmerus_annulatus_Mycetophilidae_O,,Mycetophilidae,,,Symmerus,annulatus,,Symmerus annulatus
101,Manota_sp_DK_Mycetophilidae_O,,Mycetophilidae,,,Manota,,DK,Manota
102,Manota_mazumbaiensis_Mycetophilidae_O,,Mycetophilidae,,,Manota,mazumbaiensis,,Manota mazumbaiensis
103,Manota_mabokeensis_Mycetophilidae_O,,Mycetophilidae,,,Manota,mabokeensis,,Manota mabokeensis
104,Manota_unifurcata_Mycetophilidae_O,,Mycetophilidae,,,Manota,unifurcata,,Manota unifurcata
105,Bibio_longipes_Bibionidae_O,,Bibionidae,,,Bibio,longipes,,Bibio longipes
106,Manota_sp_BMW_Mycetophilidae_O,,Mycetophilidae,,,Manota,,BMW,Manota
107,Bolitophila_sp_BMW_Mycetophilidae_O,,Mycetophilidae,,,Bolitophila,,BMW,Bolitophila
108,Lygistorrhina_sanctaecatherina_Lygistorrhinidae_Oe,,Lygistorrhinidae,,,Lygistorrhina,sanctaecatherina,,Lygistorrhina sanctaecatherina
109,Arachnocampa_flava_Keroplatidae_O,,Keroplatidae,,,Arachnocampa,flava,,Arachnocampa flava
110,Diadocidia_ferruginosa_Diadocidiidae_O,,Diadocidiidae,,,Diadocidia,ferruginosa,,Diadocidia ferruginosa
111,Bolitophila_sp_ER_009_Mycetophilidae_O,,Mycetophilidae,,,Bolitophila,,ER_009,Bolitophila
112,Heterotropus_sp_Bombyliidae_B,,Bombyliidae,,,Heterotropus,,,Heterotropus
113,Cyrtosiini_gen_sp_Bombyliidae_B,,Bombyliidae,Cyrtosiini,,,,,Cyrtosiini
114,Mythicomyia_sp_Bombyliidae_B,,Bombyliidae,,,Mythicomyia,,,Mythicomyia
115,Glabellula_sp_Bombyliidae_B,,Bombyliidae,,,Glabellula,,,Glabellula
116,Mnemomyia_sp_Bombyliidae_B,,Bombyliidae,,,Mnemomyia,,,Mnemomyia
117,Pantarbes_sp_Bombyliidae_B,,Bombyliidae,,,Pantarbes,,,Pantarbes
118,Eusurbus_sp_Bombyliidae_B,,Bombyliidae,,,Eusurbus,,,Eusurbus
119,Marmasoma_sumptuosum_Bombyliidae_B,,Bombyliidae,,,Marmasoma,sumptuosum,,Marmasoma sumptuosum
120,Toxophora_compta_Bombyliidae_B,,Bombyliidae,,,Toxophora,compta,,Toxophora compta
121,Toxophora_sp_Bombyliidae_B,,Bombyliidae,,,Toxophora,,,Toxophora
122,Geron_sp_Bombyliidae_B,,Bombyliidae,,,Geron,,,Geron
123,Zaclava_sp_Bombyliidae_B,,Bombyliidae,,,Zaclava,,,Zaclava
124,Systropus_sp_Bombyliidae_B,,Bombyliidae,,,Systropus,,,Systropus
125,Systropus_flavoornatus_Bombyliidae_B,,Bombyliidae,,,Systropus,flavoornatus,,Systropus flavoornatus
126,Dolichomyia_sp_Bombyliidae_B,,Bombyliidae,,,Dolichomyia,,,Dolichomyia
127,Corsomyza_sp_Bombyliidae_B,,Bombyliidae,,,Corsomyza,,,Corsomyza
128,Apolysis_sp_Bombyliidae_B_1,,Bombyliidae,,,Apolysis,,1,Apolysis
129,Tomomyza_sp_Bombyliidae_B,,Bombyliidae,,,Tomomyza,,,Tomomyza
130,Paracosmus_sp_Bombyliidae_B,,Bombyliidae,,,Paracosmus,,,Paracosmus
131,Lyophlaeba_sp_Bombyliidae_B,,Bombyliidae,,,Lyophlaeba,,,Lyophlaeba
132,Aleucosia_sp_Bombyliidae_B,,Bombyliidae,,,Aleucosia,,,Aleucosia
133,Comptosia_quadripennis_Bombyliidae_B,,Bombyliidae,,,Comptosia,quadripennis,,Comptosia quadripennis
134,Comptosia_moretoni_Bombyliidae_B,,Bombyliidae,,,Comptosia,moretoni,,Comptosia moretoni
135,Lordotus_sp_Bombyliidae_B,,Bombyliidae,,,Lordotus,,,Lordotus
136,Geminaria_sp_1_Bombyliidae_B,,Bombyliidae,,,Geminaria,,1,Geminaria
137,Geminaria_sp_2_Bombyliidae_B,,Bombyliidae,,,Geminaria,,2,Geminaria
138,Amphicosmus_sp_Bombyliidae_B,,Bombyliidae,,,Amphicosmus,,,Amphicosmus
139,Conophorus_sp_Bombyliidae_B,,Bombyliidae,,,Conophorus,,,Conophorus
140,sparnopolius_sp_Bombyliidae_B,,Bombyliidae,,,sparnopolius,,,sparnopolius
141,Villa_sp_3_Bombyliidae_B,,Bombyliidae,,,Villa,,3,Villa
142,Anastoechus_sp_Bombyliidae_B,,Bombyliidae,,,Anastoechus,,,Anastoechus
143,Heterostylum_sp_Bombyliidae_B,,Bombyliidae,,,Heterostylum,,,Heterostylum
144,Meomyia_sp_Bombyliidae_B,,Bombyliidae,,,Meomyia,,,Meomyia
145,Bombylius_major_Bombyliidae_B,,Bombyliidae,,,Bombylius,major,,Bombylius major
146,Neosardus_sp_Bombyliidae_B,,Bombyliidae,,,Neosardus,,,Neosardus
147,Neosardus_principus_Bombyliidae_B,,Bombyliidae,,,Neosardus,principus,,Neosardus principus
148,Pteraulax_sp_Bombyliidae_B,,Bombyliidae,,,Pteraulax,,,Pteraulax
149,Aphoebantus_sp_2_Bombyliidae_B,,Bombyliidae,,,Aphoebantus,,2,Aphoebantus
150,Aphoebantus_sp_1_Bombyliidae_B,,Bombyliidae,,,Aphoebantus,,1,Aphoebantus
151,Epacmus_sp_Bombyliidae_B,,Bombyliidae,,,Epacmus,,,Epacmus
152,Hemipenthes_jaennickeana_Bombyliidae_B,,Bombyliidae,,,Hemipenthes,jaennickeana,,Hemipenthes jaennickeana
153,Comptosia_sp_LRC2002_Bombyliidae_B,,Bombyliidae,,,Comptosia,,LRC2002,Comptosia
154,Brachyanax_ater_Bombyliidae_B,,Bombyliidae,,,Brachyanax,ater,,Brachyanax ater
155,Anthrax_proconcisus_Bombyliidae_B,,Bombyliidae,,,Anthrax,proconcisus,,Anthrax proconcisus
156,Ligyra_satyrus_Bombyliidae_B,,Bombyliidae,,,Ligyra,satyrus,,Ligyra satyrus
157,Pseudopenthes_sp_Bombyliidae_B,,Bombyliidae,,,Pseudopenthes,,,Pseudopenthes
158,Exoprosopa_sp_Bombyliidae_B,,Bombyliidae,,,Exoprosopa,,,Exoprosopa
159,Lepidanthrax_sp_Bombyliidae_B,,Bombyliidae,,,Lepidanthrax,,,Lepidanthrax
160,Villa_sp_2_Bombyliidae_B,,Bombyliidae,,,Villa,,2,Villa
161,Villa_sp_1_Bombyliidae_B,,Bombyliidae,,,Villa,,1,Villa
162,Rynchanthrax_sp_Bombyliidae_B,,Bombyliidae,,,Rynchanthrax,,,Rynchanthrax
163,Hyperalonia_sp_Bombyliidae_B,,Bombyliidae,,,Hyperalonia,,,Hyperalonia
164,Anthrax_sp_Bombyliidae_B,,Bombyliidae,,,Anthrax,,,Anthrax
165,Xenox_tigrinus_Bombyliidae_B,,Bombyliidae,,,Xenox,tigrinus,,Xenox tigrinus
166,Epacomoides_sp_Bombyliidae_B,,Bombyliidae,,,Epacomoides,,,Epacomoides
167,Antonia_sp_Bombyliidae_B,,Bombyliidae,,,Antonia,,,Antonia
168,Thevenetimyia_sp_Bombyliidae_B,,Bombyliidae,,,Thevenetimyia,,,Thevenetimyia
169,Usia_sp_Bombyliidae_B,,Bombyliidae,,,Usia,,,Usia
170,Apolysis_sp_Bombyliidae_B,,Bombyliidae,,,Apolysis,,,Apolysis
171,Apolysis_sp_Bombyliidae_B_2,,Bombyliidae,,,Apolysis,,2,Apolysis
172,Sericosoma_sp_Bombyliidae_B,,Bombyliidae,,,Sericosoma,,,Sericosoma
173,Lordotus_sp_Bombyliidae_B_MEI_90_26,,Bombyliidae,,,Lordotus,,MEI_90_26,Lordotus
174,Lepidophora_sp_Bombyliidae_B,,Bombyliidae,,,Lepidophora,,,Lepidophora
175,Desmatomyia_sp_Bombyliidae_B,,Bombyliidae,,,Desmatomyia,,,Desmatomyia
176,Evocoa_chilensis_Evocoidae_A,,Evocoidae,,,Evocoa,chilensis,,Evocoa chilensis
177,Clesthentia_aberrans_Apsilocephalidae_A,,Apsilocephalidae,,,Clesthentia,aberrans,,Clesthentia aberrans
178,Apsilocephala_sp_Apsilocephalidae_A,,Apsilocephalidae,,,Apsilocephala,,,Apsilocephala
179,Microgephyra_sp_nov_Therevidae_A,,Therevidae,,,Microgephyra,,nov,Microgephyra
180,Microgephyra_brincki_Therevidae_A,,Therevidae,,,Microgephyra,brincki,,Microgephyra brincki
181,Microgephyra_madagascariensis_Therevidae_A,,Therevidae,,,Microgephyra,madagascariensis,,Microgephyra madagascariensis
182,Hemigephyra_braunsi_Therevidae_A,,Therevidae,,,Hemigephyra,braunsi,,Hemigephyra braunsi
183,Ceratosathe_tridactyla_Therevidae_A,,Therevidae,,,Ceratosathe,tridactyla,,Ceratosathe tridactyla
184,Xestomyza_lugubris_Therevidae_A,,Therevidae,,,Xestomyza,lugubris,,Xestomyza lugubris
185,Hemigephyra_atra_Therevidae_A,,Therevidae,,,Hemigephyra,atra,,Hemigephyra atra
186,Henicomyia_hubbardi_Therevidae_A,,Therevidae,,,Henicomyia,hubbardi,,Henicomyia hubbardi
187,Henicomyia_sp_1_Therevidae_A,,Therevidae,,,Henicomyia,,1,Henicomyia
188,Henicomyia_sp_2_Therevidae_A,,Therevidae,,,Henicomyia,,2,Henicomyia
189,Nanexila_argentiquadris_Therevidae_A,,Therevidae,,,Nanexila,argentiquadris,,Nanexila argentiquadris
190,Johnmannia_tasmanica_Therevidae_A,,Therevidae,,,Johnmannia,tasmanica,,Johnmannia tasmanica
191,Eupsilocephala_albodorsalis_Therevidae_A,,Therevidae,,,Eupsilocephala,albodorsalis,,Eupsilocephala albodorsalis
192,Actenomeros_paradoxa_Therevidae_A,,Therevidae,,,Actenomeros,paradoxa,,Actenomeros paradoxa
193,Taenogerella_schlingeri_Therevidae_A,,Therevidae,,,Taenogerella,schlingeri,,Taenogerella schlingeri
194,Therevidae_A_gen_sp_4_Therevidae_A,,Therevidae,,,gen,,4,Therevidae
195,Actenomeros_act_Therevidae_A,,Therevidae,,,Actenomeros,,act,Actenomeros
196,Coloforia_grandiosa_Therevidae_A,,Therevidae,,,Coloforia,grandiosa,,Coloforia grandiosa
197,Calophytus_nubilosa_Therevidae_A,,Therevidae,,,Calophytus,nubilosa,,Calophytus nubilosa
198,Neodialineura_striatithorax_Therevidae_A,,Therevidae,,,Neodialineura,striatithorax,,Neodialineura striatithorax
199,Neodialineura_bifaria_Therevidae_A,,Therevidae,,,Neodialineura,bifaria,,Neodialineura bifaria
200,Neodialineura_tinderry_Therevidae_A,,Therevidae,,,Neodialineura,tinderry,,Neodialineura tinderry
201,Entesia_sp_Therevidae_A,,Therevidae,,,Entesia,,,Entesia
202,Melanothereva_lugubris_Therevidae_A,,Therevidae,,,Melanothereva,lugubris,,Melanothereva lugubris
203,Calophytus_matilei_Therevidae_A,,Therevidae,,,Calophytus,matilei,,Calophytus matilei
204,Calophytus_chazeaui_Therevidae_A,,Therevidae,,,Calophytus,chazeaui,,Calophytus chazeaui
205,Calophytus_webbi_Therevidae_A,,Therevidae,,,Calophytus,webbi,,Calophytus webbi
206,Calophytus_sp_Therevidae_A,,Therevidae,,,Calophytus,,,Calophytus
207,Taenogerella_pelicanstercis_Therevidae_A,,Therevidae,,,Taenogerella,pelicanstercis,,Taenogerella pelicanstercis
208,Taenogera_longa_Therevidae_A,,Therevidae,,,Taenogera,longa,,Taenogera longa
209,Ectinorhynchus_sp5_SLW_Therevidae_A,,Therevidae,,,Ectinorhynchus,,sp5_SLW,Ectinorhynchus
210,Pyrromannia_superbus_Therevidae_A,,Therevidae,,,Pyrromannia,superbus,,Pyrromannia superbus
211,Pyrromannia_actensis_Therevidae_A,,Therevidae,,,Pyrromannia,actensis,,Pyrromannia actensis
212,Ectinorhynchus_sp_SLW_Therevidae_A,,Therevidae,,,Ectinorhynchus,,SLW,Ectinorhynchus
213,Pyrromannia_carnarvoni_Therevidae_A,,Therevidae,,,Pyrromannia,carnarvoni,,Pyrromannia carnarvoni
214,Ectinorhynchus_sp_narellea_Therevidae_A,,Therevidae,,,Ectinorhynchus,,narellea,Ectinorhynchus
215,Evansomyia_sp_Therevidae_A_1,,Therevidae,,,Evansomyia,,1,Evansomyia
216,Evansomyia_sp_Therevidae_A_3,,Therevidae,,,Evansomyia,,3,Evansomyia
217,Evansomyia_sp_Therevidae_A_2,,Therevidae,,,Evansomyia,,2,Evansomyia
218,Evansomyia_sp_Therevidae_A,,Therevidae,,,Evansomyia,,,Evansomyia
219,Ectinorhynchus_phyciformis_Therevidae_A,,Therevidae,,,Ectinorhynchus,phyciformis,,Ectinorhynchus phyciformis
220,Evansomyia_nowsteadtas_Therevidae_A,,Therevidae,,,Evansomyia,nowsteadtas,,Evansomyia nowsteadtas
221,Ectinorynchus_sp_Therevidae_A,,Therevidae,,,Ectinorynchus,,,Ectinorynchus
222,Ectinorhynchus_victoria_Therevidae_A,,Therevidae,,,Ectinorhynchus,victoria,,Ectinorhynchus victoria
223,Ectinorhynchus_pollinosus_Therevidae_A,,Therevidae,,,Ectinorhynchus,pollinosus,,Ectinorhynchus pollinosus
224,Ectinorhynchus_commoni_Therevidae_A,,Therevidae,,,Ectinorhynchus,commoni,,Ectinorhynchus commoni
225,Tianarinha_cracentis_Therevidae_A,,Therevidae,,,Tianarinha,cracentis,,Tianarinha cracentis
226,Agapophytus_antheliogynaion_Therevidae_A,,Therevidae,,,Agapophytus,antheliogynaion,,Agapophytus antheliogynaion
227,Agapophytus_queenslandi_Therevidae_A,,Therevidae,,,Agapophytus,queenslandi,,Agapophytus queenslandi
228,Agapophytus_paramonovi_Therevidae_A,,Therevidae,,,Agapophytus,paramonovi,,Agapophytus paramonovi
229,Therevidae_A_gen_sp_3_Therevidae_A,,Therevidae,,,gen,,3,Therevidae
230,Agapophytus_bicolor_Therevidae_A,,Therevidae,,,Agapophytus,bicolor,,Agapophytus bicolor
231,Agapophytus_aterrimus_Therevidae_A,,Therevidae,,,Agapophytus,aterrimus,,Agapophytus aterrimus
232,Agapophytus_aga_Therevidae_A,,Therevidae,,,Agapophytus,aga,,Agapophytus aga
233,Therevidae_A_gen_sp_2_Therevidae_A,,Therevidae,,,gen,,2,Therevidae
234,Pipinnipons_fascipennis_Therevidae_A,,Therevidae,,,Pipinnipons,fascipennis,,Pipinnipons fascipennis
235,Pipinnipons_kroeberi_Therevidae_A,,Therevidae,,,Pipinnipons,kroeberi,,Pipinnipons kroeberi
236,Acupalpa_semirufa_Therevidae_A,,Therevidae,,,Acupalpa,semirufa,,Acupalpa semirufa
237,Acupalpa_divisa_Therevidae_A,,Therevidae,,,Acupalpa,divisa,,Acupalpa divisa
238,Laxotela_whitei_Therevidae_A,,Therevidae,,,Laxotela,whitei,,Laxotela whitei
239,Laxotela_plata_Therevidae_A,,Therevidae,,,Laxotela,plata,,Laxotela plata
240,Belonalys_obscura_Therevidae_A,,Therevidae,,,Belonalys,obscura,,Belonalys obscura
241,Laxotela_hauseri_Therevidae_A,,Therevidae,,,Laxotela,hauseri,,Laxotela hauseri
242,Patanothrix_skevingtoni_Therevidae_A,,Therevidae,,,Patanothrix,skevingtoni,,Patanothrix skevingtoni
243,Patanothrix_wilsoni_Therevidae_A,,Therevidae,,,Patanothrix,wilsoni,,Patanothrix wilsoni
244,Bonjeania_clamosis_Therevidae_A,,Therevidae,,,Bonjeania,clamosis,,Bonjeania clamosis
245,Parapsilocephala_sp_2_Therevidae_A,,Therevidae,,,Parapsilocephala,,2,Parapsilocephala
246,Parapsilocephala_sp_BMW_1999a_Therevidae_A,,Therevidae,,,Parapsilocephala,,BMW_1999a,Parapsilocephala
