tip_name,superfamily,family,subfamily,tribe,genus,species,additional_identifiers
Exodontha_dubia_Stratiomyidae_S,,Stratiomyidae,,,Exodontha,dubia,
Beris_morrisii_Stratiomyidae_S,,Stratiomyidae,,,Beris,morrisii,
Actina_chalybea_Stratiomyidae_S,,Stratiomyidae,,,Actina,chalybea,
Chorisops_tunisiae_Stratiomyidae_S,,Stratiomyidae,,,Chorisops,tunisiae,
Oplachantha_sp_CB0225_Stratiomyidae_S,,Stratiomyidae,,,Oplachantha,,CB0225
Heteracanthia_sp_Stratiomyidae_S,,Stratiomyidae,,,Heteracanthia,,
Actina_viridis_Stratiomyidae_S,,Stratiomyidae,,,Actina,viridis,
Neoberis_brasiliana_Stratiomyidae_S,,Stratiomyidae,,,Neoberis,brasiliana,
Beridops_sp_CB0437_Stratiomyidae_S,,Stratiomyidae,,,Beridops,,CB0437
Lecomyia_sp_CB0413_Stratiomyidae_S,,Stratiomyidae,,,Lecomyia,,CB0413
Cyanauges_ruficornis_CB0407_Stratiomyidae_S,,Stratiomyidae,,,Cyanauges,ruficornis,CB0407
Cyanauges_maculatus_CB0433_Stratiomyidae_S,,Stratiomyidae,,,Cyanauges,maculatus,CB0433
Chiromyza_sp_CB0313_Stratiomyidae_S,,Stratiomyidae,,,Chiromyza,,CB0313
Parhadrestia_atava_Stratiomyidae_S,,Stratiomyidae,,,Parhadrestia,atava,
Hilarimorpha_sp_Hilarimorphidae_H,,Hilarimorphidae,,,Hilarimorpha,,
Sylvicola_fenestralis_Anisopodoidea_B,,Anisopodidae,,,Sylvicola,fenestralis,
Symmerus_annulatus_Mycetophilidae_O,,Mycetophilidae,,,Symmerus,annulatus,
Manota_sp_DK_Mycetophilidae_O,,Mycetophilidae,,,Manota,,DK
Manota_mazumbaiensis_Mycetophilidae_O,,Mycetophilidae,,,Manota,mazumbaiensis,
Manota_mabokeensis_Mycetophilidae_O,,Mycetophilidae,,,Manota,mabokeensis,
Manota_unifurcata_Mycetophilidae_O,,Mycetophilidae,,,Manota,unifurcata,
Bibio_longipes_Bibionidae_O,,Bibionidae,,,Bibio,longipes,
Manota_sp_BMW_Mycetophilidae_O,,Mycetophilidae,,,Manota,,BMW
Bolitophila_sp_BMW_Mycetophilidae_O,,Mycetophilidae,,,Bolitophila,,BMW
Lygistorrhina_sanctaecatherina_Lygistorrhinidae_Oe,,Lygistorrhinidae,,,Lygistorrhina,sanctaecatherina,
Arachnocampa_flava_Keroplatidae_O,,Keroplatidae,,,Arachnocampa,flava,
Diadocidia_ferruginosa_Diadocidiidae_O,,Diadocidiidae,,,Diadocidia,ferruginosa,
Bolitophila_sp_ER_009_Mycetophilidae_O,,Mycetophilidae,,,Bolitophila,,ER_009
Heterotropus_sp_Bombyliidae_B,,Bombyliidae,,,Heterotropus,,
Cyrtosiini_gen_sp_Bombyliidae_B,,Bombyliidae,Cyrtosiini,,,,
Mythicomyia_sp_Bombyliidae_B,,Bombyliidae,,,Mythicomyia,,
Glabellula_sp_Bombyliidae_B,,Bombyliidae,,,Glabellula,,
Mnemomyia_sp_Bombyliidae_B,,Bombyliidae,,,Mnemomyia,,
Pantarbes_sp_Bombyliidae_B,,Bombyliidae,,,Pantarbes,,
Eusurbus_sp_Bombyliidae_B,,Bombyliidae,,,Eusurbus,,
Marmasoma_sumptuosum_Bombyliidae_B,,Bombyliidae,,,Marmasoma,sumptuosum,
Toxophora_compta_Bombyliidae_B,,Bombyliidae,,,Toxophora,compta,
Toxophora_sp_Bombyliidae_B,,Bombyliidae,,,Toxophora,,
Geron_sp_Bombyliidae_B,,Bombyliidae,,,Geron,,
Zaclava_sp_Bombyliidae_B,,Bombyliidae,,,Zaclava,,
Systropus_sp_Bombyliidae_B,,Bombyliidae,,,Systropus,,
Systropus_flavoornatus_Bombyliidae_B,,Bombyliidae,,,Systropus,flavoornatus,
Dolichomyia_sp_Bombyliidae_B,,Bombyliidae,,,Dolichomyia,,
Corsomyza_sp_Bombyliidae_B,,Bombyliidae,,,Corsomyza,,
Apolysis_sp_Bombyliidae_B_1,,Bombyliidae,,,Apolysis,,1
Tomomyza_sp_Bombyliidae_B,,Bombyliidae,,,Tomomyza,,
Paracosmus_sp_Bombyliidae_B,,Bombyliidae,,,Paracosmus,,
Lyophlaeba_sp_Bombyliidae_B,,Bombyliidae,,,Lyophlaeba,,
Aleucosia_sp_Bombyliidae_B,,Bombyliidae,,,Aleucosia,,
Comptosia_quadripennis_Bombyliidae_B,,Bombyliidae,,,Comptosia,quadripennis,
Comptosia_moretoni_Bombyliidae_B,,Bombyliidae,,,Comptosia,moretoni,
Lordotus_sp_Bombyliidae_B,,Bombyliidae,,,Lordotus,,
Geminaria_sp_1_Bombyliidae_B,,Bombyliidae,,,Geminaria,,1
Geminaria_sp_2_Bombyliidae_B,,Bombyliidae,,,Geminaria,,2
Amphicosmus_sp_Bombyliidae_B,,Bombyliidae,,,Amphicosmus,,
Conophorus_sp_Bombyliidae_B,,Bombyliidae,,,Conophorus,,
sparnopolius_sp_Bombyliidae_B,,Bombyliidae,,,sparnopolius,,
Villa_sp_3_Bombyliidae_B,,Bombyliidae,,,Villa,,3
Anastoechus_sp_Bombyliidae_B,,Bombyliidae,,,Anastoechus,,
Heterostylum_sp_Bombyliidae_B,,Bombyliidae,,,Heterostylum,,
Meomyia_sp_Bombyliidae_B,,Bombyliidae,,,Meomyia,,
Bombylius_major_Bombyliidae_B,,Bombyliidae,,,Bombylius,major,
Neosardus_sp_Bombyliidae_B,,Bombyliidae,,,Neosardus,,
Neosardus_principus_Bombyliidae_B,,Bombyliidae,,,Neosardus,principus,
Pteraulax_sp_Bombyliidae_B,,Bombyliidae,,,Pteraulax,,
Aphoebantus_sp_2_Bombyliidae_B,,Bombyliidae,,,Aphoebantus,,2
Aphoebantus_sp_1_Bombyliidae_B,,Bombyliidae,,,Aphoebantus,,1
Epacmus_sp_Bombyliidae_B,,Bombyliidae,,,Epacmus,,
Hemipenthes_jaennickeana_Bombyliidae_B,,Bombyliidae,,,Hemipenthes,jaennickeana,
Comptosia_sp_LRC2002_Bombyliidae_B,,Bombyliidae,,,Comptosia,,LRC2002
Brachyanax_ater_Bombyliidae_B,,Bombyliidae,,,Brachyanax,ater,
Anthrax_proconcisus_Bombyliidae_B,,Bombyliidae,,,Anthrax,proconcisus,
Ligyra_satyrus_Bombyliidae_B,,Bombyliidae,,,Ligyra,satyrus,
Pseudopenthes_sp_Bombyliidae_B,,Bombyliidae,,,Pseudopenthes,,
Exoprosopa_sp_Bombyliidae_B,,Bombyliidae,,,Exoprosopa,,
Lepidanthrax_sp_Bombyliidae_B,,Bombyliidae,,,Lepidanthrax,,
Villa_sp_2_Bombyliidae_B,,Bombyliidae,,,Villa,,2
Villa_sp_1_Bombyliidae_B,,Bombyliidae,,,Villa,,1
Rynchanthrax_sp_Bombyliidae_B,,Bombyliidae,,,Rynchanthrax,,
Hyperalonia_sp_Bombyliidae_B,,Bombyliidae,,,Hyperalonia,,
Anthrax_sp_Bombyliidae_B,,Bombyliidae,,,Anthrax,,
Xenox_tigrinus_Bombyliidae_B,,Bombyliidae,,,Xenox,tigrinus,
Epacomoides_sp_Bombyliidae_B,,Bombyliidae,,,Epacomoides,,
Antonia_sp_Bombyliidae_B,,Bombyliidae,,,Antonia,,
Thevenetimyia_sp_Bombyliidae_B,,Bombyliidae,,,Thevenetimyia,,
Usia_sp_Bombyliidae_B,,Bombyliidae,,,Usia,,
Apolysis_sp_Bombyliidae_B,,Bombyliidae,,,Apolysis,,
Apolysis_sp_Bombyliidae_B_2,,Bombyliidae,,,Apolysis,,2
Sericosoma_sp_Bombyliidae_B,,Bombyliidae,,,Sericosoma,,
Lordotus_sp_Bombyliidae_B_MEI_90_26,,Bombyliidae,,,Lordotus,,MEI_90_26
Lepidophora_sp_Bombyliidae_B,,Bombyliidae,,,Lepidophora,,
Desmatomyia_sp_Bombyliidae_B,,Bombyliidae,,,Desmatomyia,,
Evocoa_chilensis_Evocoidae_A,,Evocoidae,,,Evocoa,chilensis,
Clesthentia_aberrans_Apsilocephalidae_A,,Apsilocephalidae,,,Clesthentia,aberrans,
Apsilocephala_sp_Apsilocephalidae_A,,Apsilocephalidae,,,Apsilocephala,,
Microgephyra_sp_nov_Therevidae_A,,Therevidae,,,Microgephyra,,nov
Microgephyra_brincki_Therevidae_A,,Therevidae,,,Microgephyra,brincki,
Microgephyra_madagascariensis_Therevidae_A,,Therevidae,,,Microgephyra,madagascariensis,
Hemigephyra_braunsi_Therevidae_A,,Therevidae,,,Hemigephyra,braunsi,
Ceratosathe_tridactyla_Therevidae_A,,Therevidae,,,Ceratosathe,tridactyla,
Xestomyza_lugubris_Therevidae_A,,Therevidae,,,Xestomyza,lugubris,
Hemigephyra_atra_Therevidae_A,,Therevidae,,,Hemigephyra,atra,
Henicomyia_hubbardi_Therevidae_A,,Therevidae,,,Henicomyia,hubbardi,
Henicomyia_sp_1_Therevidae_A,,Therevidae,,,Henicomyia,,1
Henicomyia_sp_2_Therevidae_A,,Therevidae,,,Henicomyia,,2
Nanexila_argentiquadris_Therevidae_A,,Therevidae,,,Nanexila,argentiquadris,
Johnmannia_tasmanica_Therevidae_A,,Therevidae,,,Johnmannia,tasmanica,
Eupsilocephala_albodorsalis_Therevidae_A,,Therevidae,,,Eupsilocephala,albodorsalis,
Actenomeros_paradoxa_Therevidae_A,,Therevidae,,,Actenomeros,paradoxa,
Taenogerella_schlingeri_Therevidae_A,,Therevidae,,,Taenogerella,schlingeri,
Therevidae_A_gen_sp_4_Therevidae_A,,Therevidae,,,gen,,4
Actenomeros_act_Therevidae_A,,Therevidae,,,Actenomeros,,act
Coloforia_grandiosa_Therevidae_A,,Therevidae,,,Coloforia,grandiosa,
Calophytus_nubilosa_Therevidae_A,,Therevidae,,,Calophytus,nubilosa,
Neodialineura_striatithorax_Therevidae_A,,Therevidae,,,Neodialineura,striatithorax,
Neodialineura_bifaria_Therevidae_A,,Therevidae,,,Neodialineura,bifaria,
Neodialineura_tinderry_Therevidae_A,,Therevidae,,,Neodialineura,tinderry,
Entesia_sp_Therevidae_A,,Therevidae,,,Entesia,,
Melanothereva_lugubris_Therevidae_A,,Therevidae,,,Melanothereva,lugubris,
Calophytus_matilei_Therevidae_A,,Therevidae,,,Calophytus,matilei,
Calophytus_chazeaui_Therevidae_A,,Therevidae,,,Calophytus,chazeaui,
Calophytus_webbi_Therevidae_A,,Therevidae,,,Calophytus,webbi,
Calophytus_sp_Therevidae_A,,Therevidae,,,Calophytus,,
Taenogerella_pelicanstercis_Therevidae_A,,Therevidae,,,Taenogerella,pelicanstercis,
Taenogera_longa_Therevidae_A,,Therevidae,,,Taenogera,longa,
Ectinorhynchus_sp5_SLW_Therevidae_A,,Therevidae,,,Ectinorhynchus,,sp5_SLW
Pyrromannia_superbus_Therevidae_A,,Therevidae,,,Pyrromannia,superbus,
Pyrromannia_actensis_Therevidae_A,,Therevidae,,,Pyrromannia,actensis,
Ectinorhynchus_sp_SLW_Therevidae_A,,Therevidae,,,Ectinorhynchus,,SLW
Pyrromannia_carnarvoni_Therevidae_A,,Therevidae,,,Pyrromannia,carnarvoni,
Ectinorhynchus_sp_narellea_Therevidae_A,,Therevidae,,,Ectinorhynchus,,narellea
Evansomyia_sp_Therevidae_A_1,,Therevidae,,,Evansomyia,,1
Evansomyia_sp_Therevidae_A_3,,Therevidae,,,Evansomyia,,3
Evansomyia_sp_Therevidae_A_2,,Therevidae,,,Evansomyia,,2
Evansomyia_sp_Therevidae_A,,Therevidae,,,Evansomyia,,
Ectinorhynchus_phyciformis_Therevidae_A,,Therevidae,,,Ectinorhynchus,phyciformis,
Evansomyia_nowsteadtas_Therevidae_A,,Therevidae,,,Evansomyia,nowsteadtas,
Ectinorynchus_sp_Therevidae_A,,Therevidae,,,Ectinorynchus,,
Ectinorhynchus_victoria_Therevidae_A,,Therevidae,,,Ectinorhynchus,victoria,
Ectinorhynchus_pollinosus_Therevidae_A,,Therevidae,,,Ectinorhynchus,pollinosus,
Ectinorhynchus_commoni_Therevidae_A,,Therevidae,,,Ectinorhynchus,commoni,
Tianarinha_cracentis_Therevidae_A,,Therevidae,,,Tianarinha,cracentis,
Agapophytus_antheliogynaion_Therevidae_A,,Therevidae,,,Agapophytus,antheliogynaion,
Agapophytus_queenslandi_Therevidae_A,,Therevidae,,,Agapophytus,queenslandi,
Agapophytus_paramonovi_Therevidae_A,,Therevidae,,,Agapophytus,paramonovi,
Therevidae_A_gen_sp_3_Therevidae_A,,Therevidae,,,gen,,3
Agapophytus_bicolor_Therevidae_A,,Therevidae,,,Agapophytus,bicolor,
Agapophytus_aterrimus_Therevidae_A,,Therevidae,,,Agapophytus,aterrimus,
Agapophytus_aga_Therevidae_A,,Therevidae,,,Agapophytus,aga,
Therevidae_A_gen_sp_2_Therevidae_A,,Therevidae,,,gen,,2
Pipinnipons_fascipennis_Therevidae_A,,Therevidae,,,Pipinnipons,fascipennis,
Pipinnipons_kroeberi_Therevidae_A,,Therevidae,,,Pipinnipons,kroeberi,
Acupalpa_semirufa_Therevidae_A,,Therevidae,,,Acupalpa,semirufa,
Acupalpa_divisa_Therevidae_A,,Therevidae,,,Acupalpa,divisa,
Laxotela_whitei_Therevidae_A,,Therevidae,,,Laxotela,whitei,
Laxotela_plata_Therevidae_A,,Therevidae,,,Laxotela,plata,
Belonalys_obscura_Therevidae_A,,Therevidae,,,Belonalys,obscura,
Laxotela_hauseri_Therevidae_A,,Therevidae,,,Laxotela,hauseri,
Patanothrix_skevingtoni_Therevidae_A,,Therevidae,,,Patanothrix,skevingtoni,
Patanothrix_wilsoni_Therevidae_A,,Therevidae,,,Patanothrix,wilsoni,
Bonjeania_clamosis_Therevidae_A,,Therevidae,,,Bonjeania,clamosis,
Parapsilocephala_sp_2_Therevidae_A,,Therevidae,,,Parapsilocephala,,2
Parapsilocephala_sp_BMW_1999a_Therevidae_A,,Therevidae,,,Parapsilocephala,,BMW_1999a
Bonjeania_actuosa_Therevidae_A,,Therevidae,,,Bonjeania,actuosa,
Acraspisa_obscuripes_Therevidae_A,,Therevidae,,,Acraspisa,obscuripes,
ME1314Fij_Therevidae_A_Therevidae_A,,Therevidae,,,ME1314Fij,,Therevidae_A
Nanexila_gracilis_Therevidae_A,,Therevidae,,,Nanexila,gracilis,
Acraspisa_sp_2_Therevidae_A,,Therevidae,,,Acraspisa,,2
Acraspisa_sp_NCSU0300001_Therevidae_A,,Therevidae,,,Acraspisa,,NCSU0300001
Manestella_nanargenta_Therevidae_A,,Therevidae,,,Manestella,nanargenta,
Medomega_sp_Therevidae_A,,Therevidae,,,Medomega,,
Zelothrix_venusta_Therevidae_A,,Therevidae,,,Zelothrix,venusta,
Sidarena_cooma_Therevidae_A,,Therevidae,,,Sidarena,cooma,
Megalinga_bolbocera_Therevidae_A,,Therevidae,,,Megalinga,bolbocera,
Penniverpa_sp_Therevidae_A,,Therevidae,,,Penniverpa,,
Litolinga_tergisa_Therevidae_A,,Therevidae,,,Litolinga,tergisa,
Notiothereva_sp_Therevidae_A,,Therevidae,,,Notiothereva,,
Notiothereva_albiventris_Therevidae_A,,Therevidae,,,Notiothereva,albiventris,
Iberotelus_inexpectatus_Therevidae_A,,Therevidae,,,Iberotelus,inexpectatus,
Ammothereva_sp_Therevidae_A,,Therevidae,,,Ammothereva,,
Ozodiceromyia_sp_1_SLW_Therevidae_A,,Therevidae,,,Ozodiceromyia,,1_SLW
Cyclotelus_pictipennis_Therevidae_A,,Therevidae,,,Cyclotelus,pictipennis,
Procyclotelus_elegans_Therevidae_A,,Therevidae,,,Procyclotelus,elegans,
Leptothereva_sp_Therevidae_A,,Therevidae,,,Leptothereva,,
Elcaribe_abdominalis_Therevidae_A,,Therevidae,,,Elcaribe,abdominalis,
Brachylinga_baccata_Therevidae_A,,Therevidae,,,Brachylinga,baccata,
Brachylinga_sp_Therevidae_A_MEI090244,,Therevidae,,,Brachylinga,,MEI090244
Brachylinga_sp_Therevidae_A,,Therevidae,,,Brachylinga,,
Chromolepida_pruinosa_Therevidae_A,,Therevidae,,,Chromolepida,pruinosa,
Hoplosathe_formosa_Therevidae_A,,Therevidae,,,Hoplosathe,formosa,
Hoplosathe_frauenfeldi_Therevidae_A,,Therevidae,,,Hoplosathe,frauenfeldi,
Hermannula_lanata_Therevidae_A,,Therevidae,,,Hermannula,lanata,
Acantothereva_sp_Therevidae_A,,Therevidae,,,Acantothereva,,
Irwiniella_oldroydi_Therevidae_A,,Therevidae,,,Irwiniella,oldroydi,
Irwiniella_velutina_Therevidae_A,,Therevidae,,,Irwiniella,velutina,
Irwiniella_natalensis_Therevidae_A,,Therevidae,,,Irwiniella,natalensis,
Acrosathe_notata_Therevidae_A,,Therevidae,,,Acrosathe,notata,
Acrosathe_novella_Therevidae_A,,Therevidae,,,Acrosathe,novella,
Irwiniella_frontata_Therevidae_A,,Therevidae,,,Irwiniella,frontata,
Dichoglena_nigrina_Therevidae_A,,Therevidae,,,Dichoglena,nigrina,
Pandivirilia_sp_Therevidae_A,,Therevidae,,,Pandivirilia,,
Tabudamima_melanophleba_Therevidae_A,,Therevidae,,,Tabudamima,melanophleba,
Dialineura_lyneborgi_Therevidae_A,,Therevidae,,,Dialineura,lyneborgi,
spiriverpa_sp_Therevidae_A,,Therevidae,,,spiriverpa,,
Tabuda_planiceps_Therevidae_A,,Therevidae,,,Tabuda,planiceps,
Tabuda_varia_Therevidae_A,,Therevidae,,,Tabuda,varia,
Thereva_turneri_Therevidae_A_yzerfontein,,Therevidae,,,Thereva,turneri,yzerfontein
Thereva_turneri_Therevidae_A_knyssa,,Therevidae,,,Thereva,turneri,knyssa
Thereva_turneri_Therevidae_A,,Therevidae,,,Thereva,turneri,
Caenophthalmus_capensis_Therevidae_A,,Therevidae,,,Caenophthalmus,capensis,
Euphycus_dispar_Therevidae_A,,Therevidae,,,Euphycus,dispar,
Cionophora_kollari_Therevidae_A,,Therevidae,,,Cionophora,kollari,
Baryphora_speciosa_Therevidae_A,,Therevidae,,,Baryphora,speciosa,
Stenopomyia_sp_Therevidae_A,,Therevidae,,,Stenopomyia,,
Thereva_nobilitata_Therevidae_A,,Therevidae,,,Thereva,nobilitata,
Thereva_plebeja_Therevidae_A,,Therevidae,,,Thereva,plebeja,
Thereva_strigata_Therevidae_A,,Therevidae,,,Thereva,strigata,
Thereva_aurofasciata_Therevidae_A,,Therevidae,,,Thereva,aurofasciata,
Thereva_flavicincta_Therevidae_A,,Therevidae,,,Thereva,flavicincta,
Thereva_natalensis_Therevidae_A,,Therevidae,,,Thereva,natalensis,
Thereva_bicolor_Therevidae_A,,Therevidae,,,Thereva,bicolor,
Thereva_niveipennis_Therevidae_A,,Therevidae,,,Thereva,niveipennis,
Thereva_elizabethae_Therevidae_A,,Therevidae,,,Thereva,elizabethae,
Thereva_flavipilosa_Therevidae_A,,Therevidae,,,Thereva,flavipilosa,
Thereva_major_Therevidae_A,,Therevidae,,,Thereva,major,
Thereva_microcephala_Therevidae_A,,Therevidae,,,Thereva,microcephala,
Ammonaios_confusus_Therevidae_A,,Therevidae,,,Ammonaios,confusus,
Arenigena_marcida_Therevidae_A,,Therevidae,,,Arenigena,marcida,
Agapophytus_pallidicornis_Therevidae_A,,Therevidae,,,Agapophytus,pallidicornis,
Anabarhynchus_sp_NCSU0300006_Therevidae_A,,Therevidae,,,Anabarhynchus,,NCSU0300006
Peralia_vittata_Therevidae_A,,Therevidae,,,Peralia,vittata,
