family,genus,Habitat,habitat_cat1,habitat_cat2,source,species notes,updated_genus,Open Tree Taxonomy Family,Family matches,Open Tree Taxonomy ID,NCBI ID
Agromyzidae,Phytobia,cambium,,plant,spencerRevisionaryStudyLeafMining1980,,Phytobia,Agromyzidae,TRUE,195830,414304
Agromyzidae,Phytomyza,miner,miner,plant,singhAgromyzidaeIndia1973,,Phytomyza,Agromyzidae,TRUE,129653,132616
Anisopodidae,Olbiogaster,wooddecomp,wood,decomp,hancockAnisopodidaeWoodGnats2009,,Olbiogaster,Anisopodidae,TRUE,1037372,560768
Anisopodidae,Sylvicola,"decomp, secondary decomposor",,decomp,hancockAnisopodidaeWoodGnats2009,,Sylvicola,Anisopodidae,TRUE,48220,52753
Anthomyiidae,Acklandia,veg,veg,plant,ferrar,,Acklandia,Anthomyiidae,TRUE,4361610,
Anthomyiidae,Acridomyia,endopar,endo,internal,ferrar,"sacharovi and canadensis are endopar of grasshopper larvae. egg is deposited into grasshopper, break out of host in last instar",Acridomyia,Anthomyiidae,TRUE,4362056,
Anthomyiidae,Acrostilpna,vegbore,,plant,ferrar,,Lasiomma,Anthomyiidae,TRUE,557406,95464
Anthomyiidae,Acyglossa,endopar,endo,internal,ferrar,pollinosa is Orthoptera parasite,Acyglossa,Anthomyiidae,TRUE,4362052,
Anthomyiidae,Anthomyia,"dung, vegdecomp, birds nests, fungi, web, carrion, orthoptera eggs, flowers",,multi,ferrar,"fasciata: dung. illocata: vegdecomp. pluvaialis: vegdecomp, birds nests, fungi, carrion, orthoptera eggs, flowers. procellaris: birds nests, fungi, carrion",Anthomyia,Anthomyiidae,TRUE,388244,259845
Anthomyiidae,Calythea,dung,dung,decomp,ferrar,,Calythea,Anthomyiidae,TRUE,4361945,
Anthomyiidae,Chiastochae,flowers,flower,plant,ferrar,,Chiastocheta,Anthomyiidae,TRUE,15700,129251
Anthomyiidae,Chirosia,miner,miner,plant,ferrar,,Chirosia,Anthomyiidae,TRUE,468188,392044
Anthomyiidae,Chortophila,"veg, dung, fungi, carrion",,multi,smithStudyHylemyjtaChortophila1927,another word for Hylemya?,Phorbia,Anthomyiidae,TRUE,4361619,1993534
Anthomyiidae,Craspedochoeta,"veg, dung, nests, fungi, carrion",,multi,ferrar,"cannabina: birds nests. pullula: carrion. punctipennis: fungi, vegdecomp, dung",Anthomyia,Anthomyiidae,TRUE,388244,259845
Anthomyiidae,Delia,"veg, miner, dung, fungi, eggs, webs, cocoons, carrion",,multi,ferrar,"antiqua: vegbore. brunnescens: miner, vegbore. coarctata: vegbore. echinata: vegbore. floralis: vegbore. platura: vegdecomp, veg. radicum: veg",Delia,Anthomyiidae,TRUE,116717,30063
Anthomyiidae,Egle,flowers,flower,plant,ferrar,,Egle,Anthomyiidae,TRUE,675509,411076
Anthomyiidae,Fucellia,algae on beach,algae,plant,ferrar,,Fucellia,Anthomyiidae,TRUE,106489,205683
Anthomyiidae,Hylemya,"veg, dung, fungi, carrion",,multi,ferrar,"alcathoe: dung. vagans: dung, carrion. variata: dung. latifrons: fungi",Hylemya,Anthomyiidae,TRUE,461977,253328
Anthomyiidae,Lasiomma,"veg, dung, nests, webs, cocoons, carrion",,multi,ferrar,"anthomyinum: bird and caterpillar nests, owl pellets. iwasi: dung. meadei: dung, birds nests. nitidicauda: birds nests. octoguttatum: birds nests, skua pellets, carrion, dung",Lasiomma,Anthomyiidae,TRUE,557406,95464
Anthomyiidae,Limnophora,"dung, vegdecomp, carrion, moss, aquatic/subaquatic",,multi,,actually in muscidae,Limnophora,Muscidae,FALSE,364542,307207
Anthomyiidae,Melanochelia,aquatic,,aquatic,mallochSynopsisNorthAmerican1921,may also b classified under muscidae,,,FALSE,,
Anthomyiidae,Paraprosalpia,"carrion, vegdecomp",,decomp,ferrar,billbergi: vegdecomp. dytisci: carrion,Alliopsis,Anthomyiidae,TRUE,4361667,1692454
Anthomyiidae,Paregle,"veg, dung",,decomp,ferrar,"audacula: dung, veg. cinerella: dung",Paregle,Anthomyiidae,TRUE,264528,559693
Anthomyiidae,Pegohylemyia,"veg, miner, dung, fungus",,multi,ferrar,"references in ferrar, some are exclusively fungi",Pegohylemyia,Anthomyiidae,TRUE,6264222,1887308
Anthomyiidae,Pegomya,"miner, veg, fungi, misc",,multi,ferrar,"some are fungi, some are flowering plants. see reference in ferrar",Pegomya,Anthomyiidae,TRUE,264522,559697
Anthomyiidae,Phorbia,"vegbore, miners",,plant,ferrar,haberlandti and securis: miners.,Phorbia,Anthomyiidae,TRUE,4361619,1993534
Anthomyzidae,Paranthomyza,miner,miner,plant,ferrar,,Paranthomyza,Anthomyzidae,TRUE,932482,500298
Anthomyzidae,Quametopia,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Quametopia,Anthomyzidae,TRUE,5835795,1603285
Anthomyzidae,Stiphrosoma,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Stiphrosoma,Anthomyzidae,TRUE,932481,500293
Asilidae,Asiluscrabroniformis,decomp,,decomp,dennisReviewAnalysisInformation2013,,,,FALSE,,
Asilidae,Bathypogon,decomp,,decomp,dennisReviewAnalysisInformation2013,,Bathypogon,Asilidae,TRUE,4443045,1718388
Asilidae,Dioctria,"soil, wooddecomp",,decomp,dennisReviewAnalysisInformation2013,,Dioctria,Asilidae,TRUE,466913,468720
Asilidae,Erax,decomp,,decomp,dennisReviewAnalysisInformation2013,,Erax,Asilidae,TRUE,4444680,
Asilidae,Laphria,wooddecomp,wood,decomp,dennisReviewAnalysisInformation2013,,Laphria,Asilidae,TRUE,217442,50683
Asilidae,Lasiopogon,soil,soil,decomp,dennisReviewAnalysisInformation2013,,Lasiopogon,Asilidae,TRUE,1070413,219536
Asilidae,Machimus,decomp,,decomp,dennisReviewAnalysisInformation2013,,Machimus,Asilidae,TRUE,464504,247604
Asilidae,Mallophora,decomp,,decomp,dennisReviewAnalysisInformation2013,,Mallophora,Asilidae,TRUE,837962,270862
Asilidae,Pamponerus,decomp,,decomp,dennisReviewAnalysisInformation2013,,Pamponerus,Asilidae,TRUE,4442374,1717601
Asilidae,Philonicus,decomp,,decomp,dennisReviewAnalysisInformation2013,,Philonicus,Asilidae,TRUE,153052,247567
Asilidae,Promachus,decomp,,decomp,dennisReviewAnalysisInformation2013,,Promachus,Asilidae,TRUE,623803,247552
Athericidae,Atherix,"aquatic, streams",,aquatic,bulankovaHabitatPreferencesConservation2009,confirmed for ibis,Atherix,Athericidae,TRUE,932517,124299
Aulacigastridae,Aulacigaster,sap,sap,sap,ferrar,,Aulacigaster,Aulacigastridae,TRUE,465644,716608
Axymyiidae,Axymyia,"aquatic, wood",,multi,wihlmDistributionLifeHistory2011,confirmed for furcata,Axymyia,Axymyiidae,TRUE,892211,560715
Bibionidae,Amasia,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Penthetria,Pleciidae,FALSE,460631,560770
Bibionidae,Bibio,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Bibio,Bibionidae,TRUE,121915,189978
Bibionidae,Dinobibio,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,,,FALSE,,
Bibionidae,Hesperinus,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Hesperinus,Hesperinidae,FALSE,615835,1086788
Bibionidae,Penthetria,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Penthetria,Pleciidae,FALSE,460631,560770
Bibionidae,Philia,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Dilophus,Bibionidae,TRUE,423695,52733
Bibionidae,Plecia,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Plecia,Bibionidae,TRUE,108322,1260898
Bibionidae,Rhaeboza,veg,veg,plant,wiegmannEpisodicRadiationsFly2011,,Coboldia,Scatopsidae,FALSE,874411,170624
Blephariceridae,Apistomyia,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Apistomyia,Blephariceridae,TRUE,988262,547802
Blephariceridae,Bibiocephala,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Bibiocephala,Blephariceridae,TRUE,988258,547807
Blephariceridae,Blepharicera,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Blepharicera,Blephariceridae,TRUE,988255,547808
Blephariceridae,Cardiocrepis,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,,,FALSE,,
Blephariceridae,Eupauliana,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,,,FALSE,,
Blephariceridae,Hapalothrix,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Hapalothrix,Blephariceridae,TRUE,4480058,
Blephariceridae,Horaria,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,,,FALSE,,
Blephariceridae,Liponeura,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Liponeura,Blephariceridae,TRUE,816753,446516
Blephariceridae,Paulianina,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Paulianina,Blephariceridae,TRUE,1038677,547827
Blephariceridae,Philorus,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Philorus,Blephariceridae,TRUE,1038680,547829
Bolitophilidae,Bolitophila,,,,,,Bolitophila,Mycetophilidae,FALSE,148805,52718
Bombyliidae,Anastoechus,"locust eggs, ectopar",ecto,animal,hullBeeFliesWorld1973,,Anastoechus,Bombyliidae,TRUE,4432698,
Bombyliidae,Anthrax,endopar,endo,internal,hullBeeFliesWorld1973,,Anthrax,Bombyliidae,TRUE,284713,117078
Bombyliidae,Bombylius,"pollen, endopar",,multi,hullBeeFliesWorld1973,,Bombylius,Bombyliidae,TRUE,376338,219362
Bombyliidae,Heterostylum,"ectopar, soil in later instar",,multi,hullBeeFliesWorld1973,,Heterostylum,Bombyliidae,TRUE,4435270,
Bombyliidae,Hyperalonia,endopar,endo,internal,hullBeeFliesWorld1973,aka ligyra,Hyperalonia,Bombyliidae,TRUE,4433594,
Bombyliidae,Lepidanthrax,endopar,endo,internal,fergusonSilentUndergroundWarfare2020,,Lepidanthrax,Bombyliidae,TRUE,4432342,
Bombyliidae,Ligyra,endopar,endo,internal,hullBeeFliesWorld1973,,Ligyra,Bombyliidae,TRUE,387604,117088
Bombyliidae,Systoechus,"locust eggs, ectopar, hard soils in late instar after eating eggs",,multi,hullBeeFliesWorld1973,,Systoechus,Bombyliidae,TRUE,4435056,1690390
Braulidae,Braula,honey,,misc,ferrar,,Braula,Braulidae,TRUE,26329,305561
Calliphoridae,Amenia,endopar,endo,internal,ferrar,female gives birth to large larva which is then a parasite,Amenia,Calliphoridae,TRUE,4390257,2086281
Calliphoridae,Auchmeromyia,bloodsucking,ecto,animal,ferrar,,Auchmeromyia,Calliphoridae,TRUE,753419,226129
Calliphoridae,Booponus,endopar,endo,internal,ferrar,,Booponus,Calliphoridae,TRUE,4389847,
Calliphoridae,Calliphora,"carrion, endopar, secondaryendopar",,multi,ferrar,"croceipalpis: carrion. peruviana: carrion. australica, dispar, sternalis, tibialis: endopar",Calliphora,Calliphoridae,TRUE,1011001,7372
Calliphoridae,Chrysomya,endopar,endo,internal,ferrar,,Chrysomya,Calliphoridae,TRUE,706870,45449
Calliphoridae,Cochilomyia,endopar,endo,internal,ferrar,,,,FALSE,,
Calliphoridae,Compsomyiops,carrion,carrion,decomp,ferrar,,Compsomyiops,Calliphoridae,TRUE,332734,142897
Calliphoridae,Cordylobia,endopar,endo,internal,ferrar,,Cordylobia,Calliphoridae,TRUE,335146,226131
Calliphoridae,Eggisos,endopar,endo,internal,ferrar,,,,FALSE,,
Calliphoridae,Epiplastocerus,termite nests,nest,nest,ferrar,,Epiplastocerus,Calliphoridae,TRUE,4389606,
Calliphoridae,Episthetosoma,termite nests,nest,nest,ferrar,,Episthetosoma,Calliphoridae,TRUE,4389878,
Calliphoridae,Hemigymnochaeta,"fungi, soil",,multi,ferrar,"varia: fungi and soil, rest soil",Hemigymnochaeta,Calliphoridae,TRUE,696528,1240433
Calliphoridae,Hemilucilia,carrion,carrion,decomp,ferrar,,Hemilucilia,Calliphoridae,TRUE,367137,416848
Calliphoridae,Idiella,endopar,endo,internal,ferrar,,Idiella,Rhiniidae,FALSE,4523368,1902146
Calliphoridae,Melinda,endopar,endo,internal,ferrar,"cognata: endopar. ""2 of four are known to be parasitoids of snails",Melinda,Calliphoridae,TRUE,522402,170907
Calliphoridae,Nepenthomyia,pitcher plants,pitcher,plant,ferrar,,Nepenthomyia,Calliphoridae,TRUE,4390369,
Calliphoridae,Onesiomima,marmot colonies,,misc,ferrar,,Onesiomima,Calliphoridae,TRUE,4390171,2173510
Calliphoridae,Paralucilia,carrion,carrion,decomp,ferrar,,Paralucilia,Calliphoridae,TRUE,442894,1042205
Calliphoridae,Phaenicia,"endopar, carrion, dung",,multi,ferrar,"aka lucilia. sericata: endopar and carrion, dung, algaedecomp. bufonivora: endopar. silvarum: endopar and carrion",Lucilia,Calliphoridae,TRUE,1011017,7374
Calliphoridae,Plastocerontus,termite nests,nest,nest,ferrar,,Plastocerontus,Calliphoridae,TRUE,4390189,
Calliphoridae,Pollenia,endopar,endo,internal,ferrar,,Pollenia,Calliphoridae,TRUE,898041,229639
Calliphoridae,Prosthetosoma,termite nests,nest,nest,ferrar,,Prosthetosoma,Calliphoridae,TRUE,4390161,
Calliphoridae,Protocalliphora,bloodsucking,ecto,animal,ferrar,,Protocalliphora,Calliphoridae,TRUE,177603,142901
Calliphoridae,Rhyncomya,"termite nests, soil, dung,",,multi,ferrar,,Rhyncomya,Rhiniidae,FALSE,259131,670621
Calliphoridae,Sarconesia,carrion,carrion,decomp,ferrar,,Sarconesia,Calliphoridae,TRUE,782301,670650
Calliphoridae,Termitocalliphora,soil,soil,decomp,ferrar,,Termitocalliphora,Calliphoridae,TRUE,4390040,
Calliphoridae,Tetraplastocerus,termite nests,nest,nest,,,Tetraplastocerus,Calliphoridae,TRUE,4389649,
Calliphoridae,Trypocalliphora,endopar,endo,internal,ferrar,,Trypocalliphora,Calliphoridae,TRUE,442891,1042207
Calliphoridae,Villeneuviella,associated w termites/ants,nest,nest,ferrar,,Villeneuviella,Rhiniidae,FALSE,4523231,
Calliphoridae,Wihelmina,pitcher plants,pitcher,plant,ferrar,,,,FALSE,,
Canaceidae,Canace,algae,algae,plant,ferrar,,Canace,Canacidae,FALSE,6262970,
Canaceidae,Canacea,"algae, aquatic",,multi,ferrar,,Canacea,Canacidae,FALSE,4411669,
Canaceidae,Canaceoides,"algae, aquatic",,multi,ferrar,,Canaceoides,Canacidae,FALSE,6262972,
Canaceidae,Procanace,"algae, aquatic",,multi,ferrar,,Procanace,Canacidae,FALSE,21737,1262322
Cecidomyiidae,Aphidoletes,aphidophagous,carn,animal,mamaevLarvaeGallMidges1993,,Aphidoletes,Cecidomyiidae,TRUE,234108,95971
Cecidomyiidae,Aprionus,"wooddecomp, coniferous litter, phorphorescent wood",wood,decomp,mamaevLarvaeGallMidges1993,dentifer in coniferous litter. flavidus in corroded wood. smirnovi in phorphorescent wood. corniculatus and dispar in wooddecomp,Aprionus,Cecidomyiidae,TRUE,4488506,1819779
Cecidomyiidae,Asphondylia,gall former,gall,plant,mamaevLarvaeGallMidges1993,,Asphondylia,Cecidomyiidae,TRUE,305612,153012
Cecidomyiidae,Brittenia,wood,wood,decomp,mamaevLarvaeGallMidges1993,fraxinicola wood,Brittenia,Cecidomyiidae,TRUE,4486120,
Cecidomyiidae,Cecidomyia,plant lice colonies,nest,nest,mamaevLarvaeGallMidges1993,aphidimiyza: plant lice colonies,Cecidomyia,Cecidomyiidae,TRUE,7283762,1543682
Cecidomyiidae,Contarinia,"gall former, live in flowers but don't make galls",gall,plant,mamaevLarvaeGallMidges1993,"don't make galls: artemisiae, avenae, dipsacearum",Contarinia,Cecidomyiidae,TRUE,856271,153220
Cecidomyiidae,Dasineura,"gall former, phytophage not making galls",gall,plant,mamaevLarvaeGallMidges1993,aka dasyneura. details of galls vs not galls in book,Dasineura,Cecidomyiidae,TRUE,266060,240745
Cecidomyiidae,Itonida,sap,sap,sap,mamaevLarvaeGallMidges1993,pini: sap,Cecidomyia,Cecidomyiidae,TRUE,7283762,1543682
Cecidomyiidae,Lasioptera,"gall former, secondary gall inhabitant",gall,plant,mamaevLarvaeGallMidges1993,tiliarum: secondary gall inhabitant,Lasioptera,Cecidomyiidae,TRUE,234144,201413
Cecidomyiidae,Mycophila,fungi,fungi,decomp,mamaevLarvaeGallMidges1993,"fungi: fungicola, speyeri, barnesi",Mycophila,Cecidomyiidae,TRUE,4484927,
Cecidomyiidae,Parepidosis,leaf litter,,decomp,mamaevLarvaeGallMidges1993,leaf litter: venusta and arcuta,Parepidosis,Cecidomyiidae,TRUE,4486631,
Cecidomyiidae,Peromyia,"moss, wood",,multi,mamaevLarvaeGallMidges1993,moss: muscorum and palustris. monilis: corroded wood and mould,Peromyia,Cecidomyiidae,TRUE,4483961,1914937
Cecidomyiidae,Piceacecis,gall former,gall,plant,gagnePiceacecisDipteraCecidomyiidae2014a,,Piceacecis,Cecidomyiidae,TRUE,7285287,2597495
Cecidomyiidae,Rhizomyia,"in roots and leaf sheaths of sedges, leaf litter",,plant,mamaevLarvaeGallMidges1993,perplexa and circumspinosa: roots and leaf sheaths of sedges,Rhizomyia,Cecidomyiidae,TRUE,4484262,
Cecidomyiidae,Sitodiplosis,flowers,flower,plant,mamaevLarvaeGallMidges1993,,Sitodiplosis,Cecidomyiidae,TRUE,927316,263139
Cecidomyiidae,Trichopteromyia,"phorphorescent wood, sedges",,plant,mamaevLarvaeGallMidges1993,sedges: caricis,Trichopteromyia,Cecidomyiidae,TRUE,4488178,
Cecidomyiidae,Winnertzia,"litter, early stages wooddecomp, phorphorescent wood, fruiting fungi, cones, secondary gall inhabitants",,multi,,tamariciphila: litter. rubricola wooddecomp. lugibris: fruiting fungi. cones: conorum. deserticola: secondary gall inhabitant,Winnertzia,Cecidomyiidae,TRUE,4488407,2338641
Celyphidae,Celyphus,veg,veg,plant,ferrar,,Celyphus,Celyphidae,TRUE,4415794,1979294
Celyphidae,Spaniocelyphus,"veg, vegdecomp",,multi,ferrar,,Spaniocelyphus,Celyphidae,TRUE,140671,1262326
Ceratopogonidae,Atrichopogon,"algae, logs, stones, on water plants, soil",,multi,mullenBiologyFeedingBehavior1988,,Atrichopogon,Ceratopogonidae,TRUE,705680,209702
Ceratopogonidae,Austroconops,"wet soil, detritus",soil,decomp,mullenChapter13Biting2019,,Austroconops,Ceratopogonidae,TRUE,1096889,209696
Ceratopogonidae,Culicoides,"semiaquatic (mud, shallow pools, etc)",,multi,mullenBiologyFeedingBehavior1988,variable by species,Culicoides,Ceratopogonidae,TRUE,722888,41820
Ceratopogonidae,Dasyhelea,"moss, vegdecomp, wooddecomp, sap, lentic, soil, plants",,multi,mullenBiologyFeedingBehavior1988,,Dasyhelea,Ceratopogonidae,TRUE,722891,41822
Ceratopogonidae,Forcipomyia,"moss, algae, wood, wooddecomp, rocks, moist enironments, dung",,multi,mullenBiologyFeedingBehavior1988,,Forcipomyia,Ceratopogonidae,TRUE,705678,209700
Ceratopogonidae,Palpomyia,"algae, mud",,multi,mullenBiologyFeedingBehavior1988,,Palpomyia,Ceratopogonidae,TRUE,4465900,1525500
Ceratopogonidae,Serromyia,"damp moss, bog",,plant,mullenBiologyFeedingBehavior1988,,Serromyia,Ceratopogonidae,TRUE,777259,209716
Ceratopogonidae,Sphaeromias,"lentic, lotic, mud, algae",,multi,mullenBiologyFeedingBehavior1988,,Sphaeromias,Ceratopogonidae,TRUE,4466569,1874311
Chamaemyiidae,Chamaemyia,grass,,plant,footeAcalyptrateDipteraFen2002,,Chamaemyia,Chamaemyiidae,TRUE,267777,305621
Chamaemyiidae,Leucopis,aphidophagous,carn,animal,gaimariMethodsRearingAphidophagous1996,,Leucopis,Chamaemyiidae,TRUE,4416066,1728826
Chamaemyiidae,Parochthiphila,grass,,plant,teodorescuDiversityEntomofaunaHymenoptera2014,,Parochthiphila,Chamaemyiidae,TRUE,793414,1262282
Chaoboridae,Chaoborus,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Chaoborus,Chaoboridae,TRUE,800080,41812
Chaoboridae,Eucorethra,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Eucorethra,Chaoboridae,TRUE,933822,33404
Chaoboridae,Mochlonyx,aquatic,,aquatic,wiegmannEpisodicRadiationsFly2011,,Mochlonyx,Chaoboridae,TRUE,4479470,1577622
Chironomidae,Ablabesmyia,"lentic, lotic",,aquatic,hudsonChironomidaeSoutheasternUnited1990,"monilis only lentic, simpsoni only lotic, rest both",Ablabesmyia,Chironomidae,TRUE,144497,46216
Chironomidae,Ainuyusurika,"aquatic, lotic",,aquatic,kawaiChironomidaeCollectedSeashore2011,,Ainuyusurika,Chironomidae,TRUE,606050,1165747
Chironomidae,Aphroteniella,lotic,lotic,aquatic,laurindodasilvaChapter16Family2018,,Aphroteniella,Chironomidae,TRUE,1020439,646259
Chironomidae,Chironomus,aquatic,,aquatic,oliverInsectsArachnidsCanada1983,,Chironomus,Chironomidae,TRUE,269685,7150
Chironomidae,Clunio,aquatic,,aquatic,hudsonChironomidaeSoutheasternUnited1990,,Clunio,Chironomidae,TRUE,158195,315556
Chironomidae,Comptochironomus,,,,,,Camptochironomus,Chironomidae,TRUE,773460,41809
Chironomidae,Eukiefferiella,"aquatic, flowing",,aquatic,oliverInsectsArachnidsCanada1983,,Eukiefferiella,Chironomidae,TRUE,5320,288843
Chironomidae,Gymnometriocnemus,terrestrial,,misc,oliverInsectsArachnidsCanada1983,,Gymnometriocnemus,Chironomidae,TRUE,194080,611353
Chironomidae,Lauterborniella,"aquatic, still and slow flowing",,aquatic,oliverInsectsArachnidsCanada1983,,Lauterborniella,Chironomidae,TRUE,526748,288850
Chironomidae,Monodiamesa,aquatic,,aquatic,laurindodasilvaChapter16Family2018,,Monodiamesa,Chironomidae,TRUE,704854,891905
Chironomidae,Paraborniella,lentic,lentic,aquatic,https://pdfs.semanticscholar.org/b5b1/af8d95cdcaf4d1734900f925ced819b0f47b.pdf,,Paraborniella,Chironomidae,TRUE,662263,903459
Chironomidae,Parochlus,lotic,lotic,aquatic,laurindodasilvaChapter16Family2018,,Parochlus,Chironomidae,TRUE,783655,315560
Chironomidae,Paucispingera,lotic,lotic,aquatic,https://www.waikatoregion.govt.nz/assets/WRC/WRC-2019/tr05-02.pdf,,Paucispinigera,Chironomidae,TRUE,190547,903463
Chironomidae,Pentaneura,"aquatic, still and moving",,aquatic,oliverInsectsArachnidsCanada1983,,Pentaneura,Chironomidae,TRUE,432242,891922
Chironomidae,Psectrotanypus,"aquatic, still",,aquatic,oliverInsectsArachnidsCanada1983,,Psectrotanypus,Chironomidae,TRUE,190541,903467
Chironomidae,Pseudosmittia,"varies by species. terrestrial, semiaquatic, wetland, still water",,multi,oliverInsectsArachnidsCanada1983,,Pseudosmittia,Chironomidae,TRUE,612599,611382
Chironomidae,Smittia,soil,soil,decomp,oliverInsectsArachnidsCanada1983,,Smittia,Chironomidae,TRUE,158192,315559
Chironomidae,Symbiocladius,parasitic,ecto,animal,oliverInsectsArachnidsCanada1983,,Symbiocladius,Chironomidae,TRUE,4475352,
Chironomidae,Syndiamesa,lotic,lotic,aquatic,https://link.springer.com/content/pdf/10.1007/s10750-005-1813-x.pdf,,Syndiamesa,Chironomidae,TRUE,4474597,
Chironomidae,Tvetenia,lotic,lotic,aquatic,hudsonChironomidaeSoutheasternUnited1990,,Tvetenia,Chironomidae,TRUE,91596,611398
Chloropidae,Batrachomyia,endopar,endo,internal,ferrar,,Batrachomyia,Chloropidae,TRUE,4413181,
Chloropidae,Calamoncosis,"vegbore, veg",,plant,ferrar,,Calamoncosis,Chloropidae,TRUE,4414330,540852
Chloropidae,Cetema,veg,veg,plant,ferrar,,Cetema,Chloropidae,TRUE,4414234,540891
Chloropidae,Chlorops,veg,veg,plant,ferrar,,Chlorops,Chloropidae,TRUE,808440,540892
Chloropidae,Cryptonevra,veg,veg,plant,ferrar,,Cryptonevra,Chloropidae,TRUE,4414618,1616778
Chloropidae,Elachiptera,"veg, vegdecomp, scavengers, wood",,multi,ferrar,info on page 111,Elachiptera,Chloropidae,TRUE,909287,540858
Chloropidae,Epichlorops,vegbore,,plant,https://www.jstor.org/stable/pdf/25009932.pdf?refreqid=excelsior%3A558a8ea7dd52a85106dd73f68757ebf9&ab_segments=&origin=&acceptTC=1,,Epichlorops,Chloropidae,TRUE,4415528,540897
Chloropidae,Eutropha,carrion,carrion,decomp,https://link.springer.com/content/pdf/10.1134/S001387381404006X.pdf,,Eutropha,Chloropidae,TRUE,4412815,
Chloropidae,Gaurax,"vegdecomp, veg, fungi, wood",,multi,ferrar,more info on page 112,Gaurax,Chloropidae,TRUE,4414442,540862
Chloropidae,Hippelates,"soil, miner, vegdecomp",,multi,ferrar,collusor: soil. nobilis: miner. proboscideus: miner. ,Hippelates,Chloropidae,TRUE,4412733,540866
Chloropidae,Incertella,vegbore,,plant,https://link.springer.com/content/pdf/10.1134/S001387381404006X.pdf,,Incertella,Chloropidae,TRUE,284795,540867
